tomst time zone adjustment,HR5 tomst temp,HR5 tomst value,TOMST raw time,EMS raw time,EMS value,EMS temp,,,Year,Month,Day,Hour,Minute,Second,Tower mean temp
2024.09.15 16:00,22.1875,1693,2024.09.15 22:00,9/15/24 16:00,12.31628513,22.859375,,,2024,9,15,16,0,0,19.476455
2024.09.15 17:00,19.875,1693,2024.09.15 23:00,9/15/24 17:00,12.30757046,20.609375,,,2024,9,15,17,0,0,20.031522
2024.09.15 18:00,19.5625,1693,2024.09.16 00:00,9/15/24 18:00,12.30369663,19.828125,,,2024,9,15,18,0,0,20.233144
2024.09.15 19:00,17.375,1693,2024.09.16 01:00,9/15/24 19:00,12.30272865,17.83984375,,,2024,9,15,19,0,0,19.631261
2024.09.15 20:00,13.5,1693,2024.09.16 02:00,9/15/24 20:00,12.29982376,14.1328125,,,2024,9,15,20,0,0,17.710013
2024.09.15 21:00,13.5625,1693,2024.09.16 03:00,9/15/24 21:00,12.29788685,13.30859375,,,2024,9,15,21,0,0,17.122168
2024.09.15 22:00,15.9375,1693,2024.09.16 04:00,9/15/24 22:00,12.30175972,15.7578125,,,2024,9,15,22,0,0,17.666647
2024.09.15 23:00,13.625,1693,2024.09.16 05:00,9/15/24 23:00,12.30660152,14.15625,,,2024,9,15,23,0,0,16.864198
2024.09.16 00:00,12.5,1693,2024.09.16 06:00,9/16/24 0:00,12.31047535,12.609375,,,2024,9,16,0,0,0,15.38132
2024.09.16 01:00,12.8125,1693,2024.09.16 07:00,9/16/24 1:00,12.31628513,12.69921875,,,2024,9,16,1,0,0,15.950254
2024.09.16 02:00,13,1693,2024.09.16 08:00,9/16/24 2:00,12.32596874,12.89453125,,,2024,9,16,2,0,0,15.226833
2024.09.16 03:00,13.375,1693,2024.09.16 09:00,9/16/24 3:00,12.33274651,13.45703125,,,2024,9,16,3,0,0,15.138157
2024.09.16 04:00,13,1693,2024.09.16 10:00,9/16/24 4:00,12.34533501,12.9765625,,,2024,9,16,4,0,0,14.122181
2024.09.16 05:00,12.3125,1693,2024.09.16 11:00,9/16/24 5:00,12.3559866,12.15625,,,2024,9,16,5,0,0,13.457648
2024.09.16 06:00,11.25,1693,2024.09.16 12:00,9/16/24 6:00,12.36760712,10.984375,,,2024,9,16,6,0,0,12.909408
2024.09.16 07:00,12.375,1693,2024.09.16 13:00,9/16/24 7:00,12.36760712,11.953125,,,2024,9,16,7,0,0,14.012963
2024.09.16 08:00,10.25,1693,2024.09.16 14:00,9/16/24 8:00,12.37729073,10.61328125,,,2024,9,16,8,0,0,12.616771
2024.09.16 09:00,10.5,1693,2024.09.16 15:00,9/16/24 9:00,12.40149879,10.51171875,,,2024,9,16,9,0,0,11.947442
2024.09.16 10:00,10.6875,1693,2024.09.16 16:00,9/16/24 10:00,12.43248558,10.77734375,,,2024,9,16,10,0,0,11.395599
2024.09.16 11:00,10.625,1693,2024.09.16 17:00,9/16/24 11:00,12.47025108,10.70703125,,,2024,9,16,11,0,0,12.030411
2024.09.16 12:00,10.625,1693,2024.09.16 18:00,9/16/24 12:00,12.50317383,10.79296875,,,2024,9,16,12,0,0,11.719674
2024.09.16 13:00,11.0625,1693,2024.09.16 19:00,9/16/24 13:00,12.56805325,11.30859375,,,2024,9,16,13,0,0,12.187144
2024.09.16 14:00,11.5,1693,2024.09.16 20:00,9/16/24 14:00,12.62131119,11.56640625,,,2024,9,16,14,0,0,12.456677
2024.09.16 15:00,12.5,1693,2024.09.16 21:00,9/16/24 15:00,12.66682339,12.66796875,,,2024,9,16,15,0,0,12.97719
2024.09.16 16:00,15.1875,1693,2024.09.16 22:00,9/16/24 16:00,12.68328476,15.83203125,,,2024,9,16,16,0,0,15.067837
2024.09.16 17:00,14.75,1694,2024.09.16 23:00,9/16/24 17:00,12.68037987,14.8828125,,,2024,9,16,17,0,0,16.463155
2024.09.16 18:00,14.75,1694,2024.09.17 00:00,9/16/24 18:00,12.67941189,15.09765625,,,2024,9,16,18,0,0,17.510064
2024.09.16 19:00,13.75,1694,2024.09.17 01:00,9/16/24 19:00,12.67747498,13.546875,,,2024,9,16,19,0,0,16.586208
2024.09.16 20:00,11.625,1694,2024.09.17 02:00,9/16/24 20:00,12.68231678,11.62109375,,,2024,9,16,20,0,0,15.655916
2024.09.16 21:00,11.375,1694,2024.09.17 03:00,9/16/24 21:00,12.75106812,11.31640625,,,2024,9,16,21,0,0,15.630491
2024.09.16 22:00,11.8125,1694,2024.09.17 04:00,9/16/24 22:00,12.78205585,11.515625,,,2024,9,16,22,0,0,16.105684
2024.09.16 23:00,12.125,1695,2024.09.17 05:00,9/16/24 23:00,12.80820084,11.7265625,,,2024,9,16,23,0,0,14.630596
2024.09.17 00:00,12.875,1695,2024.09.17 06:00,9/17/24 0:00,12.87114239,13,,,2024,9,17,0,0,0,16.804757
2024.09.17 01:00,11,1695,2024.09.17 07:00,9/17/24 1:00,12.90406609,11.15625,,,2024,9,17,1,0,0,14.735939
2024.09.17 02:00,9.75,1695,2024.09.17 08:00,9/17/24 2:00,12.95635605,9.875,,,2024,9,17,2,0,0,13.214101
2024.09.17 03:00,9.3125,1695,2024.09.17 09:00,9/17/24 3:00,12.99702644,9.2890625,,,2024,9,17,3,0,0,12.746259
2024.09.17 04:00,9.125,1695,2024.09.17 10:00,9/17/24 4:00,13.05319023,9.1875,,,2024,9,17,4,0,0,12.579491
2024.09.17 05:00,9.625,1695,2024.09.17 11:00,9/17/24 5:00,13.085145,9.49609375,,,2024,9,17,5,0,0,11.901595
2024.09.17 06:00,9.75,1695,2024.09.17 12:00,9/17/24 6:00,13.11709976,9.44921875,,,2024,9,17,6,0,0,12.495833
2024.09.17 07:00,10.5,1696,2024.09.17 13:00,9/17/24 7:00,13.1277523,10.1953125,,,2024,9,17,7,0,0,13.864942
2024.09.17 08:00,11.375,1699,2024.09.17 14:00,9/17/24 8:00,13.13646698,11.26953125,,,2024,9,17,8,0,0,14.173628
2024.09.17 09:00,13.375,1700,2024.09.17 15:00,9/17/24 9:00,13.14130878,13.25,,,2024,9,17,9,0,0,15.2098
2024.09.17 10:00,15.75,1700,2024.09.17 16:00,9/17/24 10:00,13.14130878,16.2890625,,,2024,9,17,10,0,0,16.897235
2024.09.17 11:00,17.3125,1700,2024.09.17 17:00,9/17/24 11:00,13.13646698,18,,,2024,9,17,11,0,0,17.54181
2024.09.17 12:00,16.3125,1701,2024.09.17 18:00,9/17/24 12:00,13.13259315,17.0859375,,,2024,9,17,12,0,0,16.930575
2024.09.17 13:00,18.8125,1700,2024.09.17 19:00,9/17/24 13:00,13.1277523,19.14453125,,,2024,9,17,13,0,0,17.441697
2024.09.17 14:00,18.5,1701,2024.09.17 20:00,9/17/24 14:00,13.12000561,19.234375,,,2024,9,17,14,0,0,18.339763
2024.09.17 15:00,17.875,1701,2024.09.17 21:00,9/17/24 15:00,13.11419487,19.1015625,,,2024,9,17,15,0,0,18.981489
2024.09.17 16:00,15.375,1704,2024.09.17 22:00,9/17/24 16:00,13.11613178,14.93359375,,,2024,9,17,16,0,0,14.029811
2024.09.17 17:00,13.125,1704,2024.09.17 23:00,9/17/24 17:00,13.12097359,13.01171875,,,2024,9,17,17,0,0,14.520839
2024.09.17 18:00,12.5,1705,2024.09.18 00:00,9/17/24 18:00,13.12968826,12.34375,,,2024,9,17,18,0,0,14.357647
2024.09.17 19:00,11.625,1705,2024.09.18 01:00,9/17/24 19:00,13.18488407,11.68359375,,,2024,9,17,19,0,0,14.758509
2024.09.17 20:00,10.25,1707,2024.09.18 02:00,9/17/24 20:00,13.26622391,10.3125,,,2024,9,17,20,0,0,13.670247
2024.09.17 21:00,9.125,1708,2024.09.18 03:00,9/17/24 21:00,13.32141972,8.87109375,,,2024,9,17,21,0,0,12.327332
2024.09.17 22:00,7.625,1709,2024.09.18 04:00,9/17/24 22:00,13.34659576,7.4296875,,,2024,9,17,22,0,0,10.824291
2024.09.17 23:00,8.25,1710,2024.09.18 05:00,9/17/24 23:00,13.37564659,7.80859375,,,2024,9,17,23,0,0,12.615704
2024.09.18 00:00,6.625,1710,2024.09.18 06:00,9/18/24 0:00,13.39404488,6.4296875,,,2024,9,18,0,0,0,9.693964
2024.09.18 01:00,5.8125,1711,2024.09.18 07:00,9/18/24 1:00,13.40082264,5.6015625,,,2024,9,18,1,0,0,8.9548542
2024.09.18 02:00,5.5625,1711,2024.09.18 08:00,9/18/24 2:00,13.43568325,5.23046875,,,2024,9,18,2,0,0,9.0523373
2024.09.18 03:00,5.375,1711,2024.09.18 09:00,9/18/24 3:00,13.45504951,4.93359375,,,2024,9,18,3,0,0,7.9974012
2024.09.18 04:00,5.25,1717,2024.09.18 10:00,9/18/24 4:00,13.47054291,5.0625,,,2024,9,18,4,0,0,9.7512335
2024.09.18 05:00,5.125,1720,2024.09.18 11:00,9/18/24 5:00,13.48313141,4.83984375,,,2024,9,18,5,0,0,9.7930455
2024.09.18 06:00,4.875,1722,2024.09.18 12:00,9/18/24 6:00,13.49959373,4.55859375,,,2024,9,18,6,0,0,8.7660124
2024.09.18 07:00,4.625,1722,2024.09.18 13:00,9/18/24 7:00,13.51218224,4.3984375,,,2024,9,18,7,0,0,8.9331109
2024.09.18 08:00,5.25,1724,2024.09.18 14:00,9/18/24 8:00,13.51605511,4.9921875,,,2024,9,18,8,0,0,9.0992328
2024.09.18 09:00,8.375,1728,2024.09.18 15:00,9/18/24 9:00,13.51508713,7.5546875,,,2024,9,18,9,0,0,10.600508
2024.09.18 10:00,12.4375,1727,2024.09.18 16:00,9/18/24 10:00,13.50734043,13.80859375,,,2024,9,18,10,0,0,12.408631
2024.09.18 11:00,15.4375,1726,2024.09.18 17:00,9/18/24 11:00,13.48991013,16.44140625,,,2024,9,18,11,0,0,13.388628
2024.09.18 12:00,16,1726,2024.09.18 18:00,9/18/24 12:00,13.47732162,16.2578125,,,2024,9,18,12,0,0,14.129723
2024.09.18 13:00,16.5625,1726,2024.09.18 19:00,9/18/24 13:00,13.42793655,16.890625,,,2024,9,18,13,0,0,14.882074
2024.09.18 14:00,19.25,1726,2024.09.18 20:00,9/18/24 14:00,13.36789989,18.453125,,,2024,9,18,14,0,0,16.225344
2024.09.18 15:00,21.25,1725,2024.09.18 21:00,9/18/24 15:00,13.2691288,19.7890625,,,2024,9,18,15,0,0,16.889704
2024.09.18 16:00,21.75,1724,2024.09.18 22:00,9/18/24 16:00,13.15099239,21.97265625,,,2024,9,18,16,0,0,17.360035
2024.09.18 17:00,17.3125,1724,2024.09.18 23:00,9/18/24 17:00,13.12872028,17.9921875,,,2024,9,18,17,0,0,17.640272
2024.09.18 18:00,16.125,1724,2024.09.19 00:00,9/18/24 18:00,13.12484646,16.65234375,,,2024,9,18,18,0,0,17.325929
2024.09.18 19:00,11.875,1724,2024.09.19 01:00,9/18/24 19:00,13.12387848,12.734375,,,2024,9,18,19,0,0,16.4047
2024.09.18 20:00,10.125,1725,2024.09.19 02:00,9/18/24 20:00,13.12968826,10.30078125,,,2024,9,18,20,0,0,13.261043
2024.09.18 21:00,8.9375,1726,2024.09.19 03:00,9/18/24 21:00,13.13840389,8.97265625,,,2024,9,18,21,0,0,11.747784
2024.09.18 22:00,8.25,1727,2024.09.19 04:00,9/18/24 22:00,13.14130878,7.96875,,,2024,9,18,22,0,0,10.358348
2024.09.18 23:00,7.75,1727,2024.09.19 05:00,9/18/24 23:00,13.15196037,7.55078125,,,2024,9,18,23,0,0,10.007823
2024.09.19 00:00,7.5,1727,2024.09.19 06:00,9/19/24 0:00,13.19263077,7.32421875,,,2024,9,19,0,0,0,10.101063
2024.09.19 01:00,7.125,1728,2024.09.19 07:00,9/19/24 1:00,13.24395275,6.921875,,,2024,9,19,1,0,0,9.2221949
2024.09.19 02:00,7.125,1728,2024.09.19 08:00,9/19/24 2:00,13.28074932,6.8671875,,,2024,9,19,2,0,0,9.1244172
2024.09.19 03:00,6.5,1728,2024.09.19 09:00,9/19/24 3:00,13.3194828,6.359375,,,2024,9,19,3,0,0,9.299078
2024.09.19 04:00,6.4375,1728,2024.09.19 10:00,9/19/24 4:00,13.33691311,6.37890625,,,2024,9,19,4,0,0,11.345352
2024.09.19 05:00,5.875,1729,2024.09.19 11:00,9/19/24 5:00,13.35143757,5.77734375,,,2024,9,19,5,0,0,10.807716
2024.09.19 06:00,6.4375,1729,2024.09.19 12:00,9/19/24 6:00,13.36886787,6.2578125,,,2024,9,19,6,0,0,11.55503
2024.09.19 07:00,5.8125,1729,2024.09.19 13:00,9/19/24 7:00,13.38145638,5.8515625,,,2024,9,19,7,0,0,11.018856
2024.09.19 08:00,5.9375,1729,2024.09.19 14:00,9/19/24 8:00,13.38532925,5.828125,,,2024,9,19,8,0,0,10.159348
2024.09.19 09:00,8.375,1729,2024.09.19 15:00,9/19/24 9:00,13.38532925,7.5703125,,,2024,9,19,9,0,0,11.717642
2024.09.19 10:00,15.25,1728,2024.09.19 16:00,9/19/24 10:00,13.37758255,16.37109375,,,2024,9,19,10,0,0,16.063607
2024.09.19 11:00,18.6875,1727,2024.09.19 17:00,9/19/24 11:00,13.35627937,19.6953125,,,2024,9,19,11,0,0,16.756643
2024.09.19 12:00,19.875,1727,2024.09.19 18:00,9/19/24 12:00,13.289464,20.109375,,,2024,9,19,12,0,0,18.023964
2024.09.19 13:00,21.375,1726,2024.09.19 19:00,9/19/24 13:00,13.15292835,21.5078125,,,2024,9,19,13,0,0,19.504686
2024.09.19 14:00,23.9375,1726,2024.09.19 20:00,9/19/24 14:00,13.12097359,22.98828125,,,2024,9,19,14,0,0,19.779767
2024.09.19 15:00,26,1723,2024.09.19 21:00,9/19/24 15:00,13.08127213,24.54296875,,,2024,9,19,15,0,0,20.303057
2024.09.19 16:00,25.1875,1722,2024.09.19 22:00,9/19/24 16:00,13.00767803,25.765625,,,2024,9,19,16,0,0,20.70835
2024.09.19 17:00,20.625,1722,2024.09.19 23:00,9/19/24 17:00,12.97862816,21.2734375,,,2024,9,19,17,0,0,20.848922
2024.09.19 18:00,,,,9/19/24 18:00,12.97765923,19.71875,,,2024,9,19,18,0,0,20.322835
2024.09.19 19:00,,,,9/19/24 19:00,12.97572327,17.1640625,,,2024,9,19,19,0,0,19.462699
2024.09.19 20:00,,,,9/19/24 20:00,12.97959614,12.7109375,,,2024,9,19,20,0,0,16.679594
2024.09.19 21:00,,,,9/19/24 21:00,12.98637486,10.421875,,,2024,9,19,21,0,0,13.758026
2024.09.19 22:00,,,,9/19/24 22:00,12.99508953,9.4453125,,,2024,9,19,22,0,0,12.621334
2024.09.19 23:00,,,,9/19/24 23:00,13.00477314,10.66796875,,,2024,9,19,23,0,0,15.710966
